Task Id,Picked Count,Ip Address,Agent,Start Time,Total,Succeeded,Failed,Elapsed Seconds,Process Seconds,Run Method Seconds,Status,Error Category,Error Message,Error Detail,Task Detail
,,10.0.0.4,agent000,,,,,3.7288050651550293,,,LOAD_DONE,,,,
0,1,10.0.0.4,agent000,,2,2,0,0.05897229999982301,0.0012726819999999694,0.05726829800005362,RUN_DONE,,,,"{""id"": 0, ""minibatch"": [""20200601_213236.jpg"", ""20200601_213247 - Copy.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
1,1,10.0.0.4,agent000,,2,2,0,0.05874500000027183,0.0013266739999999722,0.05700199700004305,RUN_DONE,,,,"{""id"": 1, ""minibatch"": [""20200601_213247.jpg"", ""Cursive_Writing_on_Notebook_paper.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
2,1,10.0.0.4,agent000,,2,2,0,0.34934230799990473,0.09336335100000004,0.08347534299991821,RUN_DONE,,,,"{""id"": 2, ""minibatch"": [""T46336_1.jpg"", ""T4636_2.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
3,1,10.0.0.4,agent001,,2,2,0,0.5316807200001676,0.09341064200000004,0.07063712099989061,RUN_DONE,,,,"{""id"": 3, ""minibatch"": [""TC31930_1.jpg"", ""TC31930_2.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
4,1,10.0.0.4,agent001,,2,2,0,0.05905580099988583,0.0010925630000000464,0.05637389599996823,RUN_DONE,,,,"{""id"": 4, ""minibatch"": [""YJE00U.jpg"", ""bike.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
5,1,10.0.0.4,agent001,,2,2,0,0.06339340800013815,0.001091989000000071,0.05677779699999519,RUN_DONE,,,,"{""id"": 5, ""minibatch"": [""hc1427.jpg"", ""hsv39.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
6,1,10.0.0.4,agent001,,1,1,0,0.05974930200000017,0.0009734630000000077,0.057666699000037625,RUN_DONE,,,,"{""id"": 6, ""minibatch"": [""mcl650.jpg""], ""location"": ""."", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
7,1,10.0.0.4,agent000,,2,2,0,0.062123606000113796,0.0013551150000001844,0.05611619500041343,RUN_DONE,,,,"{""id"": 7, ""minibatch"": [""20200601_213247.jpg"", ""T4636_2.jpg""], ""location"": ""2020/07/28"", ""dataset_name"": ""dataset_param_config"", ""dataset_pos"": 0, ""dequeue_count"": 1}"
